Country,Year,Title,Tasks,Software
USA,2025,Avionics Technicians,"1. Test and troubleshoot instruments, components, and assemblies, using circuit testers, oscilloscopes, or voltmeters. 2. Keep records of maintenance and repair work. 3. Adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons. 4. Install electrical and electronic components, assemblies, and systems in aircraft, using hand tools, power tools, or soldering irons. 5. Set up and operate ground support and test equipment to perform functional flight tests of electrical and electronic systems. 6. Assemble components such as switches, electrical controls, and junction boxes, using hand tools or soldering irons. 7. Lay out installation of aircraft assemblies and systems, following documentation such as blueprints, manuals, and wiring diagrams. 8. Connect components to assemblies such as radio systems, instruments, magnetos, inverters, and in-flight refueling systems, using hand tools and soldering irons. 9. Interpret flight test data to diagnose malfunctions and systemic performance problems. 10. Coordinate work with that of engineers, technicians, and other aircraft maintenance personnel. 11. Fabricate parts and test aids as required. 12. Assemble prototypes or models of circuits, instruments, and systems for use in testing. 13. Operate computer-aided drafting and design applications to design avionics system modifications.",Portal server software; Computer aided design CAD software; Analytical or scientific software; Object or component oriented development software; Enterprise resource planning ERP software; Operating system software; Facilities management software; Spreadsheet software; Office suite software; Presentation software; Word processing software; Development environment software
USA,2025,Baggage Porters and Bellhops,"1. Receive and mark baggage by completing and attaching claim checks. 2. Greet incoming guests and escort them to their rooms. 3. Transport guests about premises and local areas, or arrange for transportation. 4. Maintain clean lobbies or entrance areas for travelers or guests. 5. Transfer luggage, trunks, and packages to and from rooms, loading areas, vehicles, or transportation terminals, by hand or using baggage carts. 6. Supply guests or travelers with directions, travel information, and other information, such as available services and points of interest. 7. Explain the operation of room features, such as locks, ventilation systems, and televisions. 8. Assist physically challenged travelers and other guests with special needs. 9. Deliver messages and room service orders, and run errands for guests. 10. Pick up and return items for laundry and valet service. 11. Act as part of the security team at transportation terminals, hotels, or similar establishments. 12. Compute and complete charge slips for services rendered and maintain records. 13. Page guests in hotel lobbies, dining rooms, or other areas. 14. Set up conference rooms, display tables, racks, or shelves, and arrange merchandise displays for sales personnel. 15. Inspect guests' rooms to ensure that they are adequately stocked, orderly, and comfortable. 16. Complete baggage insurance forms. 17. Arrange for shipments of baggage, express mail, and parcels by providing weighing and billing services.",Office suite software; Spreadsheet software; Electronic mail software; Word processing software
USA,2025,Bailiffs,"1. Screen persons entering courthouse using magnetometers, x-ray machines, and other devices to collect and retain unauthorized firearms and other contraband. 2. Escort prisoners to and from courthouse and maintain custody of prisoners during court proceedings. 3. Maintain order in courtroom during trial and guard jury from outside contact. 4. Provide security by patrolling interior and exterior of courthouse and escorting judges and other court employees. 5. Guard lodging of sequestered jury. 6. Enforce courtroom rules of behavior and warn persons not to smoke or disturb court procedure. 7. Arrest persons in court when arrest warrants have been issued. 8. Report need for police or medical assistance to sheriff's office. 9. Check courtroom for security and cleanliness and assure availability of sundry supplies, such as notepads, for use by judge, jurors, and attorneys. 10. Stop people from entering courtroom while judge charges jury. 11. Screen, control, and handle evidence and exhibits during court proceedings. 12. Provide assistance to the public, such as directions to court offices. 13. Announce entrance of judge. 14. Maintain court docket. 15. Provide jury escort to restaurant and other areas outside of courtroom to prevent jury contact with public.",Document management software; Data base user interface and query software; Word processing software; Calendar and scheduling software; Electronic mail software; Spreadsheet software; Office suite software; Presentation software; Cloud-based data access and sharing software; Analytical or scientific software; Internet browser software
USA,2025,Bakers,"1. Check products for quality, and identify damaged or expired goods. 2. Set oven temperatures, and place items into hot ovens for baking. 3. Combine measured ingredients in bowls of mixing, blending, or cooking machinery. 4. Place dough in pans, molds, or on sheets, and bake in production ovens or on grills. 5. Set time and speed controls for mixing machines, blending machines, or steam kettles so that ingredients will be mixed or cooked according to instructions. 6. Measure or weigh flour or other ingredients to prepare batters, doughs, fillings, or icings, using scales or graduated containers. 7. Observe color of products being baked, and adjust oven temperatures, humidity, or conveyor speeds accordingly. 8. Check the quality of raw materials to ensure that standards and specifications are met. 9. Check equipment to ensure that it meets health and safety regulations, and perform maintenance or cleaning, as necessary. 10. Adapt the quantity of ingredients to match the amount of items to be baked. 11. Apply glazes, icings, or other toppings to baked goods, using spatulas or brushes. 12. Decorate baked goods, such as cakes or pastries. 13. Roll, knead, cut, or shape dough to form sweet rolls, pie crusts, tarts, cookies, or other products. 14. Direct or coordinate bakery deliveries. 15. Order or receive supplies or equipment. 16. Prepare or maintain inventory or production records. 17. Operate slicing or wrapping machines. 18. Develop new recipes for baked goods.",Time accounting software; Enterprise resource planning ERP software; Data base user interface and query software; Analytical or scientific software; Electronic mail software; Materials requirements planning logistics and supply chain software; Spreadsheet software; Office suite software; Presentation software; Word processing software; Desktop publishing software; Inventory management software; Internet browser software
USA,2025,Barbers,"1. Clean and sterilize scissors, combs, clippers, and other instruments. 2. Drape and pin protective cloths around customers' shoulders. 3. Cut and trim hair according to clients' instructions or current hairstyles, using clippers, combs, hand-held blow driers, and scissors. 4. Question patrons regarding desired services and haircut styles. 5. Clean work stations and sweep floors. 6. Apply lather and shave beards or neck and temple hair contours, using razors. 7. Record services provided on cashiers' tickets or receive payment from customers. 8. Shape and trim beards and moustaches, using scissors. 9. Perform clerical and administrative duties such as keeping records, paying bills, and hiring and supervising personnel. 10. Stay informed of the latest styles and hair care techniques. 11. Suggest treatments to alleviate hair problems. 12. Order supplies. 13. Shampoo hair. 14. Recommend and sell lotions, tonics, or other cosmetic supplies. 15. Measure, fit, and groom hairpieces. 16. Identify hair problems, using microscopes and testing devices, or by sending clients' hair samples out to independent laboratories for analysis. 17. Provide skin care and nail treatments. 18. Keep card files on clientele, recording notes of work done, products used and fees charged after each visit. 19. Curl, color, or straighten hair, using special chemical solutions and equipment. 20. Provide face, neck, and scalp massages.",Calendar and scheduling software; Data base user interface and query software; Web page creation and editing software; Operating system software; Spreadsheet software; Office suite software; Presentation software; Word processing software; Point of sale POS software; Video creation and editing software
USA,2025,Bartenders,"1. Clean glasses, utensils, and bar equipment. 2. Collect money for drinks served. 3. Balance cash receipts. 4. Check identification of customers to verify age requirements for purchase of alcohol. 5. Clean bars, work areas, and tables. 6. Attempt to limit problems and liability related to customers' excessive drinking by taking steps such as persuading customers to stop drinking, or ordering taxis or other transportation for intoxicated patrons. 7. Take beverage orders from serving staff or directly from patrons. 8. Serve wine, and bottled or draft beer. 9. Plan, organize, and control the operations of a cocktail lounge or bar. 10. Stock bar with beer, wine, liquor, and related supplies such as ice, glassware, napkins, or straws. 11. Serve snacks or food items to customers seated at the bar. 12. Mix ingredients, such as liquor, soda, water, sugar, and bitters, to prepare cocktails and other drinks. 13. Slice and pit fruit for garnishing drinks. 14. Ask customers who become loud and obnoxious to leave, or physically remove them. 15. Arrange bottles and glasses to make attractive displays. 16. Create drink recipes. 17. Supervise the work of bar staff and other bartenders. 18. Order or requisition liquors and supplies. 19. Plan bar menus. 20. Prepare appetizers such as pickles, cheese, and cold meats.",Data base user interface and query software; Point of sale POS software; Web page creation and editing software; Internet browser software
USA,2025,Bicycle Repairers,"1. Install and adjust brakes and brake pads. 2. Help customers select bicycles that fit their body sizes and intended bicycle uses. 3. Align wheels. 4. Assemble new bicycles. 5. Sell bicycles and accessories. 6. Install, repair, and replace equipment or accessories, such as handlebars, stands, lights, and seats. 7. Install new tires and tubes. 8. Install and adjust speed and gear mechanisms. 9. Clean and lubricate bicycle parts. 10. Order bicycle parts. 11. Disassemble axles to repair, adjust, and replace defective parts, using hand tools. 12. Build wheels by cutting and threading new spokes. 13. Shape replacement parts, using bench grinders. 14. Paint bicycle frames, using spray guns or brushes. 15. Repair holes in tire tubes, using scrapers and patches. 16. Weld broken or cracked frames together, using oxyacetylene torches and welding rods.",Inventory management software; Point of sale POS software; Spreadsheet software; Electronic mail software; Word processing software; Data base user interface and query software; Internet browser software
USA,2025,Bill and Account Collectors,"1. Record information about financial status of customers and status of collection efforts. 2. Locate and notify customers of delinquent accounts by mail, telephone, or personal visits to solicit payment. 3. Locate and monitor overdue accounts, using computers and a variety of automated systems. 4. Arrange for debt repayment or establish repayment schedules, based on customers' financial situations. 5. Advise customers of necessary actions and strategies for debt repayment. 6. Answer customer questions regarding problems with their accounts. 7. Persuade customers to pay amounts due on credit accounts, damage claims, or nonpayable checks, or to return merchandise. 8. Confer with customers by telephone or in person to determine reasons for overdue payments and to review the terms of sales, service, or credit contracts. 9. Receive payments and post amounts paid to customer accounts. 10. Trace delinquent customers to new addresses by inquiring at post offices, telephone companies, credit bureaus, or through the questioning of neighbors. 11. Notify credit departments, order merchandise repossession or service disconnection, and turn over account records to attorneys when customers fail to respond to collection attempts. 12. Sort and file correspondence and perform miscellaneous clerical duties, such as answering correspondence and writing reports. 13. Perform various administrative functions for assigned accounts, such as recording address changes and purging the records of deceased customers. 14. Contact insurance companies to check on status of claims payments and write appeal letters for denial on claims. 15. Negotiate credit extensions when necessary.",Accounting software; Customer relationship management CRM software; Point of sale POS software; Access software; Categorization or classification software; Document management software; Medical software; Time accounting software; Internet browser software; Information retrieval or search software; Enterprise resource planning ERP software; Spreadsheet software; Office suite software; Electronic mail software; Presentation software; Word processing software; Optical character reader OCR or scanning software; Data base user interface and query software
USA,2025,Billing and Posting Clerks,"1. Post stop-payment notices to prevent payment of protested checks. 2. Verify accuracy of billing data and revise any errors. 3. Verify signatures and required information on checks. 4. Prepare itemized statements, bills, or invoices and record amounts due for items purchased or services rendered. 5. Perform bookkeeping work, including posting data or keeping other records concerning costs of goods or services or the shipment of goods. 6. Operate typing, adding, calculating, or billing machines. 7. Resolve discrepancies in accounting records. 8. Contact customers to obtain or relay account information. 9. Review documents, such as purchase orders, sales tickets, charge slips, or hospital records, to compute fees or charges due. 10. Keep records of invoices and support documents. 11. Route statements for mailing or over-the-counter delivery to customers. 12. Monitor equipment to ensure proper operation. 13. Fix minor problems, such as equipment jams, and notify repair personnel of major equipment problems. 14. Weigh envelopes containing statements to determine correct postage and affix postage, using stamps or metering equipment. 15. Compare previously prepared bank statements with canceled checks and reconcile discrepancies. 16. Match statements with batches of canceled checks by account numbers. 17. Take orders for imprinted checks. 18. Encode and cancel checks, using bank machines. 19. Consult sources, such as rate books, manuals, or insurance company representatives, to determine specific charges or information such as rules, regulations, or government tax and tariff information. 20. Track accumulated hours and dollar amounts charged to each client job to calculate client fees for professional services, such as legal or accounting services. 21. Update manuals when rates, rules, or regulations are amended. 22. Compute credit terms, discounts, shipment charges, or rates for goods or services to complete billing documents. 23. Load machines with statements, cancelled checks, or envelopes to prepare statements for distribution to customers or stuff envelopes by hand. 24. Review compiled data on operating costs and revenues to set rates. 25. Estimate market value of products or services.",Accounting software; Financial analysis software; Graphics or photo imaging software; Document management software; Industrial control software; Customer relationship management CRM software; Data base user interface and query software; Desktop publishing software; Medical software; Business intelligence and data analysis software; Access software; Enterprise resource planning ERP software; Spreadsheet software; Office suite software; Electronic mail software; Presentation software; Project management software; Operating system software; Word processing software; Optical character reader OCR or scanning software; Internet browser software
USA,2025,Biochemists and Biophysicists,"1. Share research findings by writing scientific articles or by making presentations at scientific conferences. 2. Teach or advise undergraduate or graduate students or supervise their research. 3. Study physical principles of living cells or organisms and their electrical or mechanical energy, applying methods and knowledge of mathematics, physics, chemistry, or biology. 4. Manage laboratory teams or monitor the quality of a team's work. 5. Develop new methods to study the mechanisms of biological processes. 6. Write grant proposals to obtain funding for research. 7. Design or perform experiments with equipment, such as lasers, accelerators, or mass spectrometers. 8. Determine the three-dimensional structure of biological macromolecules. 9. Design or build laboratory equipment needed for special research projects. 10. Prepare reports or recommendations, based upon research outcomes. 11. Study spatial configurations of submicroscopic molecules, such as proteins, using x-rays or electron microscopes. 12. Study the chemistry of living processes, such as cell development, breathing and digestion, or living energy changes, such as growth, aging, or death. 13. Study the mutations in organisms that lead to cancer or other diseases. 14. Research the chemical effects of substances, such as drugs, serums, hormones, or food, on tissues or vital processes. 15. Research transformations of substances in cells, using atomic isotopes. 16. Develop or execute tests to detect diseases, genetic disorders, or other abnormalities. 17. Develop or test new drugs or medications intended for commercial distribution. 18. Isolate, analyze, or synthesize vitamins, hormones, allergens, minerals, or enzymes and determine their effects on body functions. 19. Examine the molecular or chemical aspects of immune system functioning. 20. Research how characteristics of plants or animals are carried through successive generations. 21. Prepare pharmaceutical compounds for commercial distribution. 22. Develop methods to process, store, or use foods, drugs, or chemical compounds. 23. Investigate the nature, composition, or expression of genes or research how genetic engineering can impact these processes. 24. Produce pharmaceutically or industrially useful proteins, using recombinant DNA technology.",Graphics or photo imaging software; Analytical or scientific software; Computer aided design CAD software; Electronic mail software; Geographic information system; Enterprise application integration software; Data mining software; Internet browser software; Inventory management software; Operating system software; Spreadsheet software; Office suite software; Presentation software; Process mapping and design software; Word processing software; Information retrieval or search software; Object or component oriented development software; Enterprise resource planning ERP software; Data base user interface and query software
USA,2025,Bioengineers and Biomedical Engineers,"1. Conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals. 2. Adapt or design computer hardware or software for medical science uses. 3. Evaluate the safety, efficiency, and effectiveness of biomedical equipment. 4. Develop models or computer simulations of human biobehavioral systems to obtain data for measuring or controlling life processes. 5. Research new materials to be used for products, such as implanted artificial organs. 6. Write documents describing protocols, policies, standards for use, maintenance, and repair of medical equipment. 7. Conduct training or in-services to educate clinicians and other personnel on proper use of equipment. 8. Analyze new medical procedures to forecast likely outcomes. 9. Advise hospital administrators on the planning, acquisition, and use of medical equipment.",Enterprise resource planning ERP software; Development environment software; Medical software; Graphics or photo imaging software; Analytical or scientific software; Computer aided design CAD software; Object or component oriented development software; Charting software; Computer aided manufacturing CAM software; Program testing software; Pattern design software; Compliance software; Enterprise application integration software; Data base user interface and query software; Web platform development software; Configuration management software; Requirements analysis and system architecture software; Operating system software; Process mapping and design software; Spreadsheet software; Office suite software; Electronic mail software; Presentation software; Project management software; Word processing software; Expert system software; Data base reporting software; Cloud-based management software
USA,2025,Biofuels Processing Technicians,"1. Monitor batch, continuous flow, or hybrid biofuels production processes. 2. Operate valves, pumps, engines, or generators to control and adjust biofuels production. 3. Monitor and record biofuels processing data. 4. Collect biofuels samples and perform routine laboratory tests or analyses to assess biofuels quality. 5. Operate equipment, such as a centrifuge, to extract biofuels products and secondary by-products or reusable fractions. 6. Process refined feedstock with additives in fermentation or reaction process vessels. 7. Operate chemical processing equipment for the production of biofuels. 8. Monitor and record flow meter performance. 9. Inspect biofuels plant or processing equipment regularly, recording or reporting damage and mechanical problems. 10. Measure and monitor raw biofuels feedstock. 11. Preprocess feedstock in preparation for physical, chemical, or biological fuel production processes. 12. Calculate, measure, load, or mix refined feedstock used in biofuels production. 13. Monitor stored biofuels products or secondary by-products until reused or transferred to users. 14. Assess the quality of biofuels additives for reprocessing. 15. Clean biofuels processing work area, ensuring compliance with safety regulations. 16. Perform routine maintenance on mechanical, electrical, or electronic equipment or instruments used in the processing of biofuels. 17. Calibrate liquid flow devices and meters, including fuel, chemical, and water meters. 18. Rebuild, repair, or replace biofuels processing equipment components. 19. Coordinate raw product sourcing or collection.",Facilities management software; Analytical or scientific software; Industrial control software; Enterprise resource planning ERP software; Inventory management software; Spreadsheet software; Word processing software; Object or component oriented development software; Business intelligence and data analysis software
USA,2025,Bioinformatics Scientists,"1. Develop new software applications or customize existing applications to meet specific scientific project needs. 2. Communicate research results through conference presentations, scientific publications, or project reports. 3. Create novel computational approaches and analytical tools as required by research goals. 4. Consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies. 5. Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes. 6. Keep abreast of new biochemistries, instrumentation, or software by reading scientific literature and attending professional conferences. 7. Develop data models and databases. 8. Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics. 9. Design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms. 10. Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases. 11. Direct the work of technicians and information technology staff applying bioinformatics tools or applications in areas such as proteomics, transcriptomics, metabolomics, or clinical bioinformatics. 12. Provide statistical and computational tools for biologically based activities, such as genetic analysis, measurement of gene expression, or gene function determination. 13. Create or modify web-based bioinformatics tools. 14. Improve user interfaces to bioinformatics software and databases. 15. Confer with departments, such as marketing, business development, or operations, to coordinate product development or improvement. 16. Recommend new systems and processes to improve operations. 17. Instruct others in the selection and use of bioinformatics tools. 18. Collaborate with software developers in the development and modification of commercial bioinformatics software. 19. Test new and updated bioinformatics tools and software. 20. Prepare summary statistics of information regarding human genomes. 21. Maintain accurate laboratory records and data. 22. Design molecular or cellular laboratory experiments, oversee their execution, and interpret results. 23. Write grant applications to obtain funding. 24. Perform laboratory procedures following protocols including deoxyribonucleic acid (DNA) sequencing, cloning and extraction, ribonucleic acid (RNA) purification, or gel electrophoresis. 25. Conduct research on cell organization and function, including mechanisms of gene expression, cellular bioinformatics, cell signaling, or cell differentiation. 26. Prepare or review reports, manuscripts, or meeting presentations. 27. Instruct undergraduate and graduate students within the areas of cellular or molecular biology. 28. Direct, coordinate, organize, or prioritize biological laboratory activities. 29. Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary. 30. Evaluate new technologies to enhance or complement current research. 31. Provide scientific direction for project teams regarding the evaluation or handling of devices, drugs, or cells for in vitro and in vivo disease models. 32. Supervise technical personnel and postdoctoral research fellows. 33. Monitor or operate specialized equipment, such as gas chromatographs and high pressure liquid chromatographs, electrophoresis units, thermocyclers, fluorescence activated cell sorters, and phosphorimagers. 34. Conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste. 35. Develop guidelines for procedures such as the management of viruses. 36. Develop assays that monitor cell characteristics. 37. Coordinate molecular or cellular research activities with scientists specializing in other fields. 38. Verify all financial, physical, and human resources assigned to research or development projects are used as planned. 39. Evaluate new supplies and equipment to ensure operability in specific laboratory settings. 40. Participate in all levels of bioproduct development, including proposing new products, performing market analyses, designing and performing experiments, and collaborating with operations and quality control teams during product launches. 41. Confer with vendors to evaluate new equipment or reagents or to discuss the customization of product lines to meet user requirements. 42. Design databases, such as mutagenesis libraries. 43. Supervise or direct the work of other geneticists, biologists, technicians, or biometricians working on genetics research projects. 44. Plan or conduct basic genomic and biological research related to areas such as regulation of gene expression, protein interactions, metabolic networks, and nucleic acid or protein complexes. 45. Prepare results of experimental findings for presentation at professional conferences or in scientific journals. 46. Maintain laboratory notebooks that record research methods, procedures, and results. 47. Write grants and papers or attend fundraising events to seek research funds. 48. Search scientific literature to select and modify methods and procedures most appropriate for genetic research goals. 49. Review, approve, or interpret genetic laboratory results. 50. Attend clinical and research conferences and read scientific literature to keep abreast of technological advances and current genetic research findings. 51. Evaluate genetic data by performing appropriate mathematical or statistical calculations and analyses. 52. Analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits. 53. Extract deoxyribonucleic acid (DNA) or perform diagnostic tests involving processes such as gel electrophoresis, Southern blot analysis, and polymerase chain reaction analysis. 54. Collaborate with biologists and other professionals to conduct appropriate genetic and biochemical analyses. 55. Instruct medical students, graduate students, or others in methods or procedures for diagnosis and management of genetic disorders. 56. Create or use statistical models for the analysis of genetic data. 57. Maintain laboratory safety programs and train personnel in laboratory safety techniques. 58. Verify that cytogenetic, molecular genetic, and related equipment and instrumentation is maintained in working condition to ensure accuracy and quality of experimental results. 59. Develop protocols to improve existing genetic techniques or to incorporate new diagnostic procedures. 60. Confer with information technology specialists to develop computer applications for genetic data analysis. 61. Design sampling plans or coordinate the field collection of samples such as tissue specimens. 62. Evaluate, diagnose, or treat genetic diseases. 63. Conduct family medical studies to evaluate the genetic basis for traits or diseases. 64. Design and maintain genetics computer databases. 65. Participate in the development of endangered species breeding programs or species survival plans. 66. Plan curatorial programs for species collections that include acquisition, distribution, maintenance, or regeneration. 67. Prepare technical and research reports, such as environmental impact reports, and communicate the results to individuals in industry, government, or the general public. 68. Develop and maintain liaisons and effective working relations with groups and individuals, agencies, and the public to encourage cooperative management strategies or to develop information and interpret findings. 69. Collect and analyze biological data about relationships among and between organisms and their environment. 70. Program and use computers to store, process, and analyze data. 71. Supervise biological technicians and technologists and other scientists. 72. Identify, classify, and study structure, behavior, ecology, physiology, nutrition, culture, and distribution of plant and animal species. 73. Communicate test results to state and federal representatives and general public. 74. Prepare requests for proposals or statements of work. 75. Represent employer in a technical capacity at conferences. 76. Study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and function. 77. Review reports and proposals, such as those relating to land use classifications and recreational development, for accuracy, adequacy, or adherence to policies, regulations, or scientific standards. 78. Develop methods and apparatus for securing representative plant, animal, aquatic, or soil samples. 79. Plan and administer biological research programs for government, research firms, medical industries, or manufacturing firms. 80. Study aquatic plants and animals and environmental conditions affecting them, such as radioactivity or pollution. 81. Write grant proposals to obtain funding for biological research. 82. Research environmental effects of present and potential uses of land and water areas, determining methods of improving environmental conditions or such outputs as crop yields. 83. Study and manage wild animal populations. 84. Measure salinity, acidity, light, oxygen content, and other physical conditions of water to determine their relationship to aquatic life. 85. Prepare plans for management of renewable resources. 86. Teach or supervise students and perform research at universities and colleges. 87. Study reactions of plants, animals, and marine species to parasites. 88. Develop pest management and control measures, and conduct risk assessments related to pest exclusion, using scientific methods.",Analytical or scientific software; Data base user interface and query software; Object or component oriented development software; Data base management system software; Portal server software; Operating system software; Development environment software; Web platform development software; Enterprise application integration software; File versioning software; Application server software; Spreadsheet software; Office suite software; Presentation software; Cloud-based data access and sharing software; Object oriented data base management software; Customer relationship management CRM software; Enterprise resource planning ERP software; Business intelligence and data analysis software; Program testing software; Internet browser software; Word processing software; Graphics or photo imaging software; Data mining software; Computer aided design CAD software; Electronic mail software; Medical software; Geographic information system
USA,2025,Bioinformatics Technicians,"1. Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques. 2. Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve. 3. Maintain awareness of new and emerging computational methods and technologies. 4. Conduct quality analyses of data inputs and resulting analyses or predictions. 5. Enter or retrieve information from structural databases, protein sequence motif databases, mutation databases, genomic databases or gene expression databases. 6. Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation. 7. Confer with researchers, clinicians, or information technology staff to determine data needs and programming requirements and to provide assistance with database-related research activities. 8. Participate in the preparation of reports or scientific publications. 9. Write computer programs or scripts to be used in querying databases. 10. Document all database changes, modifications, or problems. 11. Create data management or error-checking procedures and user manuals. 12. Develop or apply data mining and machine learning algorithms. 13. Design or implement web-based tools for querying large-scale biological databases. 14. Monitor database performance and perform any necessary maintenance, upgrades, or repairs. 15. Confer with database users about project timelines and changes. 16. Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades. 17. Package bioinformatics data for submission to public repositories. 18. Train bioinformatics staff or researchers in the use of databases. 19. Test new or updated software or tools and provide feedback to developers.",File versioning software; Enterprise application integration software; Access software; Analytical or scientific software; Development environment software; Object or component oriented development software; Customer relationship management CRM software; Enterprise resource planning ERP software; Geographic information system; Web platform development software; Operating system software; Data base user interface and query software; Spreadsheet software; Office suite software; Electronic mail software; Presentation software; Cloud-based data access and sharing software; Data base management system software; Process mapping and design software; Word processing software; Internet protocol IP multimedia subsystem software; Internet browser software
USA,2025,"Biological Science Teachers, Postsecondary","1. Evaluate and grade students' class work, laboratory work, assignments, and papers. 2. Prepare and deliver lectures to undergraduate or graduate students on topics such as molecular biology, marine biology, and botany. 3. Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction. 4. Prepare materials for laboratory activities and course materials, such as syllabi, homework assignments, and handouts. 5. Initiate, facilitate, and moderate classroom discussions. 6. Supervise students' laboratory work. 7. Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences. 8. Maintain student attendance records, grades, and other required records. 9. Compile, administer, and grade examinations, or assign this work to others. 10. Supervise undergraduate or graduate teaching, internship, and research work. 11. Assist students who need extra help with their coursework outside of class. 12. Advise students on academic and vocational curricula and on career issues. 13. Maintain regularly scheduled office hours to advise and assist students. 14. Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media. 15. Collaborate with colleagues to address teaching and research issues. 16. Select and obtain materials and supplies, such as textbooks and laboratory equipment. 17. Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues. 18. Provide students course-related experiences, such as field trips, outside the classroom. 19. Write grant proposals to procure external research funding. 20. Review papers for publication in journals. 21. Participate in student recruitment, registration, and placement activities. 22. Maintain or repair lab equipment. 23. Perform administrative duties, such as serving as department head. 24. Compile bibliographies of specialized materials for outside reading assignments. 25. Participate in campus and community events, such as giving presentations to the public. 26. Act as advisers to student organizations. 27. Provide professional consulting services to government or industry.",Analytical or scientific software; Computer based training software; Data base user interface and query software; Calendar and scheduling software; Word processing software; Information retrieval or search software; Electronic mail software; Geographic information system; Graphics or photo imaging software; Optical character reader OCR or scanning software; Spreadsheet software; Office suite software; Presentation software; Development environment software; Internet browser software
USA,2025,Biological Technicians,"1. Conduct research, or assist in the conduct of research, including the collection of information and samples, such as blood, water, soil, plants and animals. 2. Use computers, computer-interfaced equipment, robotics or high-technology industrial applications to perform work duties. 3. Monitor and observe experiments, recording production and test data for evaluation by research personnel. 4. Analyze experimental data and interpret results to write reports and summaries of findings. 5. Provide technical support and services for scientists and engineers working in fields such as agriculture, environmental science, resource management, biology, and health sciences. 6. Keep detailed logs of all work-related activities. 7. Input data into databases. 8. Isolate, identify and prepare specimens for examination. 9. Set up, adjust, calibrate, clean, maintain, and troubleshoot laboratory and field equipment. 10. Clean, maintain and prepare supplies and work areas. 11. Monitor laboratory work to ensure compliance with set standards. 12. Place orders for laboratory equipment and supplies. 13. Participate in the research, development, or manufacturing of medicinal and pharmaceutical preparations. 14. Feed livestock or laboratory animals. 15. Conduct standardized biological, microbiological or biochemical tests and laboratory analyses to evaluate the quantity or quality of physical or chemical substances in food or other products. 16. Examine animals and specimens to detect the presence of disease or other problems. 17. Measure or weigh compounds and solutions for use in testing or animal feed. 18. Conduct or supervise operational programs, such as fish hatcheries, greenhouses and livestock production programs.",Document management software; Graphics or photo imaging software; Analytical or scientific software; Office suite software; Data base user interface and query software; Geographic information system; Spreadsheet software; Map creation software; Word processing software; Presentation software; Project management software
